word,ipa,freq
আজই,a ɟ . i,2
সার্টিফিকেট,s a r . t i . pʰ i . k e t,2
তুলুন,t̪ u . l u n,2
কম্পিউটার,k ɔ m . p i u̯ . t a r,2
আনন্দিত,a . n o n . d̪ i . t̪ o,2
ভর্ৎসনা,bʰ ɔ r t̪ . ʃ ɔ . n a,2
অম্লান,ɔ m . l a n,2
তন্ময়,t̪ ɔ n . m ɔ ʲ,2
আক্কেল,a k . k e l,2
তুলেছে,t̪ u . l e . cʰ e,2
অনাঘ্রাত,ɔ . n a . gʰ r a t̪,2
হিন্দুধর্ম,h i n . d̪ u . d̪ʰ ɔ r . m o,2
ব্রহ্ম,b r ɔ m . h o,2
আগুন,a . g u n,2
ষণ্নবতি,ʃ ɔ n . n o . b o . t̪ i,2
সস্ত্রীক,ʃ ɔ . s t̪ r i k,2
নক্ষত্রের,n ɔ k . kʰ ɔ t̪ . t̪ r e r,2
ধরা,d̪ʰ ɔ . r a,2
যার,ɟ a r,2
মোবাইলটা,m o . b a i̯ l . t a,2
রাখ,r a . kʰ o,2
লেখাটা,l e . kʰ a . t a,2
পড়,p ɔ ɽ,2
বল,b ɔ l,2
উনত্রিশ,u . n o t̪ . t̪ r i ʃ,2
নম্বর,n ɔ m . b o r,2
পৃষ্ঠা,p r i ʃ . tʰ a,2
খোল,kʰ o l,2
নয়ত,n ɔ ʲ . t̪ o,2
বেলা,b æ . l a,2
ঘুমিয়েছিস,gʰ u . m i . ʲ e . cʰ i ʃ,2
ওঠ,o tʰ,2
চুপ,c u p,2
শোন,ʃ o . n o,2
মনযোগ,m o . n o . ɟ o g,2
লিখ,l i . kʰ o,2
খাবি,kʰ a . b i,2
ভাব,bʰ a b,2
বোতল,b o . t̪ o l,2
কিন,k i n,2
ধর,d̪ʰ ɔ r,2
ফেল,pʰ e l,2
নয়তো,n ɔ ʲ . t̪ o,2
সর,ʃ ɔ r,2
লুচিগুলো,l u . c i . g u . l o,2
বেল,b e l,2
পায়েশটা,p a ʲ . e ʃ . t a,2
ঢাক,dʰ a k,2
সুখে,ʃ u . kʰ e,2
নাচ,n a c,2
হাঁট,h ã t,2
বেচ,b e c,2
আসছি,a ʃ . cʰ i,2
এইখানে,e i̯ . kʰ a . n e,2
চেয়ারটা,c e . ʲ a r . t a,2
ওদিকে,o . d̪ i . k e,2
তীক্ষ্ণ,t̪ i kʰ . n o,2
রাখতে,r a kʰ . t̪ e,2
ভাগ্য,bʰ a g . g o,2
গ্রহ,g r o . h o,2
স্বাস্থ্য,ʃ a s . t̪ʰ o,2
ঘি,gʰ i,2
রোগের,r o . g e r,2
আকাঙ্ক্ষা,a . k a ŋ . kʰ a,2
তৎপর,t̪ ɔ t̪ . p ɔ r,2
সম্পন্ন,ʃ ɔ m . p ɔ n . n o,2
রন্ধ্রে,r ɔ n . d̪ʰ r e,2
দাসত্ব,d̪ a . ʃ o t̪ . t̪ o,2
বৈশিষ্ট্য,b o i̯ . ʃ i ʃ . t o,2
গুরুত্বপূর্ণ,g u . r u t̪ . t̪ o . p u r n . n o,2
বর্গ,b ɔ r . g o,2
বাংলায়,b a ŋ . l a ʲ,2
খাদ্য,kʰ a d̪ . d̪ o,2
ধর্ম,d̪ʰ ɔ r m . m o,2
কোর্টে,k o r . t e,2
প্রয়োগ,p r o ʲ . o g,2
শুদ্ধ,ʃ u d̪ . d̪ʰ o,2
ঐক্যমত,o i̯ k . k o . m ɔ t̪,2
উপন্যাস,u . p o n . n a ʃ,2
ঐতিহ্য,o i̯ . t̪ i ɟ . ɟʰ o,2
লিখেছেন,l i . kʰ e . cʰ e n,2
মাপুন,m a . p u n,2
মুক্ত,m u k . t̪ o,2
বানান,b a . n a n,2
দলে,d̪ ɔ . l e,2
ভাগ,bʰ a g,2
রাজ্যে,r a ɟ . ɟ e,2
শঙ্খ,ʃ ɔ ŋ . kʰ o,2
কুঞ্জ,k u n . ɟ o,2
সাজাও,s a . ɟ a o̯,2
গাইবে,g a i̯ . b e,2
যত্ন,ɟ ɔ t̪ . n o,2
কণ্ঠের,k ɔ n . tʰ e r,2
বেশী,b e . ʃ i,2
পত্র,p ɔ t̪ . r o,2
হাই,h a i̯,2
আড়মোড়া,a ɽ . m o . ɽ a,2
নন,n ɔ n,2
বারে,b a . r e,2
সমচ্চারিত,ʃ ɔ . m o c . c a . r i . t̪ o,2
তালিকা,t̪ a . l i . k a,2
অজ্ঞাত,ɔ g . g æ̃ . t̪ o,2
অবজ্ঞাত,ɔ . b o g . g æ̃ . t̪ o,2
তুচ্ছ,t̪ u c . cʰ o,2
বহুদিন,b o . h u . d̪ i n,1
ভোরের,bʰ o . r e r,1
মোহনিয়া,m o . h o . n i . ʲ a,1
হার,h a r,1
লাগা,l a . g a,1
সম্বিত,ʃ ɔ m . b i t̪,1
ভাইয়ার,bʰ a i̯ . ʲ a r,1
ডাকে,d a . k e,1
দিক,d̪ i k,1
পূর্বদিক,p u r . b o . d̪ i k,1
উঠেছে,u . tʰ e . cʰ e,1
পড়েছি,p o . ɽ e . cʰ i,1
বিসিএসের,b i . s i . e . s e r,1
ভাইভার,bʰ a i̯ . bʰ a r,1
এগিয়ে,e . g i . ʲ e,1
টেনশন,t e n . ʃ o n,1
বুড়ি,b u . r i,1
দেখবি,d̪ e kʰ . b i,1
ভালোটাই,bʰ a . l o . t a i̯,1
অক্লান্ত,ɔ . k l a n . t̪ o,1
বৃথা,b r i . t̪ʰ a,1
কেষ্ট,k e ʃ . t o,1
ছাদের,cʰ a . d̪ e r,1
এক্সারসাইজ,e k . s a r . s a i̯ ɟ,1
বিষণ্ন,b i . ʃ ɔ n . n o,1
পোষা,p o . ʃ a,1
শালিক,ʃ a . l i k,1
শিষ,ʃ i ʃ,1
দেখলেই,d̪ e kʰ . l e i̯,1
বিচলিত,b i . c o . l i . t̪ o,1
বেড়িয়ে,b e . ɽ i . ʲ e,1
বন্দিদশা,b o n . d̪ i . d̪ ɔ . ʃ a,1
ওরও,o r . o,1
খাঁচায়,kʰ ã . c a ʲ,1
বোঝালো,b o . ɟʰ a . l o,1
এনে,e . n e,1
আশ্বাসও,a ʃ . ʃ a ʃ . o,1
দিলো,d̪ i . l o,1
সামলাতে,ʃ a m . l a . t̪ e,1
সঙ্গেই,ʃ ɔ ŋ . g e i̯,1
আটকে,a t . k e,1
ঘাপটি,gʰ a p . t i,1
খাঁচাটার,kʰ ã . c a . t a r,1
কেঁদেছিলাম,k ẽ . d̪ e . cʰ i . l a m,1
পাখিটাকে,p a . kʰ i . t a . k e,1
পাখিটার,p a . kʰ i . t a r,1
বয়স,b ɔ ʲ . o ʃ,1
দেড়,d̪ e ɽ,1
ঠিকমতো,tʰ i k . m ɔ . t̪ o,1
উড়তেও,u ɽ . t̪ e o̯,1
শেখেনি,ʃ e . kʰ e . n i,1
দুর্ঘটনার,d̪ u r . gʰ ɔ . t o . n a r,1
আশঙ্কায়,a . ʃ ɔ ŋ . k a ʲ,1
কুঁকড়ে,k ũ k . ɽ e,1
গেছিলাম,g e . cʰ i . l a m,1
ছোট্ট,cʰ o t . t o,1
কমই,k ɔ m . i,1
হয়েছি,h o . ʲ e . cʰ i,1
পাখিটাও,p a . kʰ i . t a o̯,1
বন্দিদশাকে,b o n . d̪ i . d̪ ɔ . ʃ a . k e,1
ভালোবেসে,bʰ a . l o . b e . ʃ e,1
ফেলেছে,pʰ e . l e . cʰ e,1
কাঁধে,k ã . d̪ʰ e,1
চেনা,c e . n a,1
কোমল,k o . m o l,1
স্পর্শ,s p ɔ r . ʃ o,1
তাকাতে,t̪ a . k a . t̪ e,1
এসেছেন,e . ʃ e . cʰ e n,1
প্রশ্রয়ের,p r o s . r ɔ ʲ . e r,1
আমারা,a . m a . r a,1
স্বাধীনভাবে,ʃ a . d̪ʰ i n . bʰ a . b e,1
আলতোভাবে,a l . t̪ o . bʰ a . b e,1
মুঠোর,m u . tʰ o r,1
ভেবো,bʰ e . b o,1
তারাই,t̪ a . r a i̯,1
সাফল্য,ʃ a . pʰ o l . l o,1
অর্জনে,ɔ r . ɟ o . n e,1
নিশ্চিত,n i ʃ . c i . t̪ o,1
সৎসাহস,ʃ ɔ t̪ . ʃ a . h o ʃ,1
নও,n ɔ o̯,1
সবটুকু,ʃ ɔ b . t u . k u,1
করেছো,k o . r e . cʰ o,1
বাকিটা,b a . k i . t a,1
সৃষ্টিকর্তার,s r i ʃ . t i . k ɔ r . t̪ a r,1
চলো,c ɔ . l o,1
প্রশান্তিতে,p r o . ʃ a n . t̪ i . t̪ e,1
উঠলো,u tʰ . l o,1
চেহারা,c e . h a . r a,1
এটুকু,e . t u . k u,1
মানুষটাই,m a . n u ʃ . t a i̯,1
ভরসা,bʰ ɔ . r o . ʃ a,1
শুনছিলাম,ʃ u n . cʰ i . l a m,1
দোকানে,d̪ o . k a . n e,1
প্রতিবেশীদের,p r o . t̪ i . b e . ʃ i . d̪ e r,1
পাঠাবেন,p a . tʰ a . b e n,1
হা,h a,1
আল্লাহর,a l . l a h r,1
করছেন,k o r . cʰ e n,1
ক্যাডারশিপ,k æ . d a r . ʃ i p,1
দৃঢ়,d̪ r i . ɽʰ o,1
আল্লাহ,a l . l a h,1
কবুল,k o . b u l,1
সরল,ʃ ɔ . r o l,1
কোনোকিছুই,k o . n o . k i . cʰ u i̯,1
জটিল,ɟ o . t i l,1
শেখেননি,ʃ e . kʰ e n . n i,1
সরলতার,ʃ ɔ . r o . l ɔ . t̪ a r,1
বেগ,b e g,1
নিয়েছেন,n i . ʲ e . cʰ e n,1
কোনোদিন,k o . n o . d̪ i n,1
শুনিনি,ʃ u . n i . n i,1
করেছিলেন,k o . r e . cʰ i . l e n,1
তেমনি,t̪ e m . n i,1
আব্বুকে,a b . b u . k e,1
বাজারের,b a . ɟ a . r e r,1
লিস্টের,l i s . t e r,1
দিচ্ছিলেন,d̪ i c . cʰ i . l e n,1
মহাভোজের,m ɔ . h a . bʰ o . ɟ e r,1
আয়োজন,a ʲ . o . ɟ o n,1
বাজে,b a . ɟ e,1
পাব,p a . b o,1
কাটতে,k a t . t̪ e,1
চাচ্ছে,c a c . cʰ e,1
মিনিটের,m i . n i . t e r,1
ন্যানো,n æ . n o,1
ক্ষুদ্রাতিক্ষুদ্র,kʰ u d̪ . d̪ r a . t̪ i . kʰ u d̪ . d̪ r o,1
অংশে,ɔ ŋ . ʃ e,1
বিভক্ত,b i . bʰ ɔ k . t̪ o,1
শিরা,ʃ i . r a,1
উপশিরা,u . p o . ʃ i . r a,1
রক্তবিন্দুর,r ɔ k . t̪ o . b i n . d̪ u r,1
মুহূর্ত,m u . h u r . t̪ o,1
ব্লাড,b l a d,1
প্রেশারও,p r e . ʃ a r . o,1
কতক্ষণ,k ɔ . t̪ o k . kʰ ɔ n,1
চড়,c ɔ ɽ,1
ভেংচি,bʰ e ŋ . c i,1
গেজেটের,g e . ɟ e . t e r,1
কানকে,k a n . k e,1
আব্বু,a b . b u,1
মিটমিট,m i t . m i t,1
হাসছেন,h a ʃ . cʰ e n,1
গলার,g ɔ . l a r,1
পরিচিতদের,p o . r i . c i . t̪ o . d̪ e r,1
সোজা,ʃ o . ɟ a,1
দরজাটা,d̪ ɔ r . ɟ a . t a,1
সুখের,ʃ u . kʰ e r,1
সুখও,ʃ u kʰ . o,1
অ্যাঁ,æ̃,1
সহজে,ʃ ɔ . h o . ɟ e,1
ছাড়,cʰ a ɽ,1
পাচ্ছেন,p a c . cʰ e n,1
অভাজন,ɔ . bʰ a . ɟ o n,1
পারেন,p a . r e n,1
কার,k a r,1
শিখেছেন,ʃ i . kʰ e . cʰ e n,1
যতই,ɟ ɔ . t̪ o i̯,1
কোথা,k o . t̪ʰ a,1
আদৌ,a . d̪ o u̯,1
গুরু,g u . r u,1
মানেন,m a . n e n,1
কাদের,k a . d̪ e r,1
ততই,t̪ ɔ . t̪ o i̯,1
প্রতিভাবান,p r o . t̪ i . bʰ a . b a n,1
বটবৃক্ষ,b ɔ . t o . b r i k . kʰ o,1
ভক্তদের,bʰ ɔ k . t̪ o . d̪ e r,1
হতাশার,h ɔ . t̪ a . ʃ a r,1
সুনাম,ʃ u . n a m,1
অন্যরা,o n . n o . r a,1
বেড়ায়,b æ . ɽ a ʲ,1
বিবেক,b i . b e k,1
কারা,k a . r a,1
সম্পর্কে,ʃ ɔ m . p ɔ r . k e,1
কতটুকু,k ɔ . t̪ o . t u . k u,1
কীসে,k i . ʃ e,1
কবে,k ɔ . b e,1
মেঘ,m e gʰ,1
অচিরেই,ɔ . c i . r e i̯,1
মুষুলধারায়,m u . ʃ u l . d̪ʰ a . r a ʲ,1
নামবে,n a m . b e,1
আষাঢ়,a . ʃ a ɽ,1
স্যাঁতস্যাঁতে,ʃ æ̃ t̪ . ʃ æ̃ . t̪ e,1
ভাদ্র,bʰ a d̪ . r o,1
রোদও,r o d̪ . o,1
বৃষ্টিও,b r i ʃ . t i . o,1
সাদার,ʃ a . d̪ a r,1
মোহময়,m o . h o . m ɔ ʲ,1
পরিবেশকে,p o . r i . b e ʃ . k e,1
ঢেকে,dʰ e . k e,1
দুধ,d̪ u d̪ʰ,1
শুভ্রতায়,ʃ u b . bʰ r o . t̪ a ʲ,1
মুড়ে,m u . ɽ e,1
প্রান্তরের,p r a n . t̪ ɔ . r e r,1
প্রান্তর,p r a n . t̪ ɔ r,1
ফাল্গুন,pʰ a l . g u n,1
মুষলধারায়,m u . ʃ ɔ l . d̪ʰ a . r a ʲ,1
বাইরেটাও,b a i̯ . r e . t a . o,1
সংক্ষিপ্ত,ʃ ɔ ŋ . kʰ i p . t̪ o,1
সময়ের,ʃ ɔ . m ɔ . ʲ e r,1
থইথই,t̪ʰ o i̯ . t̪ʰ o i̯,1
ভিজতে,bʰ i ɟ . t̪ e,1
লাগাই,l a . g a i̯,1
বংশপরম্পরায়,b ɔ ŋ . ʃ o . p ɔ . r o m . p ɔ . r a ʲ,1
বাজখাঁই,b a ɟ . kʰ ã i̯,1
গলাকে,g ɔ . l a . k e,1
তাছাড়া,t̪ a . cʰ a . ɽ a,1
ঘণ্টাখানেক,gʰ ɔ n . t a . kʰ a . n e k,1
তখনকার,t̪ ɔ . kʰ o n . k a r,1
বৃষ্টিপর্বের,b r i ʃ . t i . p ɔ r . b e r,1
ভাবলাম,bʰ a b . l a m,1
হেঁটে,h ẽ . t e,1
বিশুদ্ধ,b i . ʃ u d̪ . d̪ʰ o,1
ছেলেবেলা,cʰ e . l e . b æ . l a,1
গাছগুলোর,g a cʰ . g u . l o r,1
নাড়া,n a . ɽ a,1
একে,e . k e,1
অন্যকে,o n . n o . k e,1
ভিজিয়ে,bʰ i . ɟ i . ʲ e,1
গলির,g o . l i r,1
অমনি,o m . n i,1
পিছলে,p i cʰ . l e,1
খেলাম,kʰ e . l a m,1
পেয়েছিলাম,p e . ʲ e . cʰ i . l a m,1
কর্মীদের,k ɔ r . m i . d̪ e r,1
কয়টা,k ɔ ʲ . t a,1
প্রাণপ্রিয়,p r a n . p r i . ʲ o,1
নেত্রী,n e t̪ . t̪ r i,1
উন্নয়নের,u n . n ɔ . ʲ o . n e r,1
টাকার,t a . k a r,1
পাতিনেতারা,p a . t̪ i . n e . t̪ a . r a,1
ব্যয়ে,b æ . ʲ e,1
হজম,h ɔ . ɟ o m,1
উন্নয়ন,u n . n ɔ . ʲ o n,1
বাটপারে,b a t . p a . r e,1
দেশটা,d̪ e ʃ . t a,1
নানাপ্রকার,n a . n a . p r o . k a r,1
গালিগালাজ,g a . l i . g a . l a ɟ,1
অবশেষে,ɔ . b o . ʃ e . ʃ e,1
দাঁড়ালাম,d̪ ã . ɽ a . l a m,1
মচকে,m o c . k e,1
ব্যথাও,b æ . t̪ʰ a o̯,1
এমনভাবে,æ . m o n . bʰ a . b e,1
দুঃখে,d̪ u k . kʰ e,1
ফিরলাম,pʰ i r . l a m,1
দোষ,d̪ o ʃ,1
সাবধানে,ʃ a b . d̪ʰ a . n e,1
ফেলতে,pʰ e l . t̪ e,1
দোষকে,d̪ o ʃ . k e,1
স্বভাব,ʃ ɔ . bʰ a b,1
ভয়ও,bʰ ɔ ʲ . o,1
রাগারাগি,r a . g a . r a . g i,1
এল,e . l o,1
খুড়িয়ে,kʰ u . ɽ i . ʲ e,1
খুঁড়িয়ে,kʰ ũ . ɽ i . ʲ e,1
হাঁটা,h ã . t a,1
ভাবা,bʰ a . b a,1
লোভ,l o bʰ,1
দেখালাম,d̪ æ . kʰ a . l a m,1
ফুচকা,pʰ u c . k a,1
খাওয়াব,kʰ a o̯ . ʷ a . b o,1
ব্যাপারটা,b æ . p a r . t a,1
মিটে,m i . t e,1
বোনও,b o n . o,1
বিশ্ববাটপার,b i ʃ . ʃ o . b a t . p a r,1
বুঝিনি,b u . ɟʰ i . n i,1
পৌঁছাতেই,p õ u̯ . cʰ a . t̪ e i̯,1
তুলল,t̪ u l . l o,1
বারান্দাতেই,b a . r a n . d̪ a . t̪ e i̯,1
ওকেও,o . k e o̯,1
উঁচু,ũ . c u,1
ধমক,d̪ʰ ɔ . m o k,1
থামিয়ে,t̪ʰ a . m i . ʲ e,1
চেঞ্জ,c e n ɟ,1
বসলেন,b o ʃ . l e n,1
অনুধাবন,o . n u . d̪ʰ a . b o n,1
রেগে,r e . g e,1
সস্নেহে,ʃ ɔ s . n e . h e,1
বকা,b ɔ . k a,1
দেবেন,d̪ e . b e n,1
মালিশ,m a . l i ʃ,1
লাগলেন,l a g . l e n,1
শীতে,ʃ i . t̪ e,1
মাঘ,m a gʰ,1
এক্সিডেন্ট,e . s i . d e n t,1
নজরে,n ɔ . ɟ o . r e,1
দাদি,d̪ a . d̪ i,1
ফুফু,pʰ u . pʰ u,1
চাচারা,c a . c a . r a,1
আক্ষেপ,a k . kʰ e p,1
বলতেন,b o l . t̪ e n,1
কলিজার,k o . l i . ɟ a r,1
টুকরা,t u k . r a,1
পড়তেই,p o ɽ . t̪ e i̯,1
বিশ্বাসঘাতকতা,b i ʃ . ʃ a ʃ . gʰ a . t̪ o . k ɔ . t̪ a,1
মুক্তাগাছার,m u k . t̪ a . g a . cʰ a r,1
মণ্ডা,m ɔ n . d a,1
খাওয়ালাম,kʰ a o̯ . ʷ a . l a m,1
মণ্ডাও,m ɔ n . d a o̯,1
ঢাকায়,dʰ a . k a ʲ,1
শায়েস্তা,ʃ a ʲ . e s . t̪ a,1
দেখাব,d̪ æ . kʰ a . b o,1
দুষ্টু,d̪ u ʃ . t u,1
বুঝবে,b u ɟʰ . b e,1
ধানে,d̪ʰ a . n e,1
চাল,c a l,1
দিব,d̪ i . b o,1
নিশ্চয়,n i ʃ . c ɔ ʲ,1
ধৈর্য,d̪ʰ o i̯ r . ɟ o,1
সেসব,ʃ e . ʃ ɔ b,1
দেওয়াটা,d̪ æ o̯ . ʷ a . t a,1
নেওয়াটা,n e o̯ . ʷ a . t a,1
বিষয়টা,b i . ʃ ɔ ʲ . t a,1
বলবেনও,b o l . b e n . o,1
প্রশ্নোত্তর,p r o ʃ . n o t̪ . t̪ o r,1
পর্বে,p ɔ r . b e,1
শিক্ষাগুরু,ʃ i k . kʰ a . g u . r u,1
আদেশ,a . d̪ e ʃ,1
জ্ঞানপাপী,g æ̃ n . p a . p i,1
হোস,h o s,1
বরবাদ্নিষেধ,b ɔ r . b a d̪ . n i . ʃ e d̪ʰ,1
দেখিয়েছে,d̪ e . kʰ i . ʲ e . cʰ e,1
পড়ছেন,p o ɽ . cʰ e n,1
বন্ধুকে,b o n . d̪ʰ u . k e,1
বলছেন,b o l . cʰ e n,1
বেরোই,b e . r o i̯,1
প্রস্তাব,p r o s . t̪ a b,1
আশঙ্কা,a . ʃ ɔ ŋ . k a,1
দেখব,d̪ e kʰ . b o,1
অনুষ্ঠানের,o . n u ʃ . tʰ a . n e r,1
উপদেশটা,u . p o . d̪ e ʃ . t a,1
দিই,d̪ i i̯,1
ভালোটা,bʰ a . l o . t a,1
দেখবেন,d̪ e kʰ . b e n,1
উঠবেন,u tʰ . b e n,1
ধৈর্য্য,d̪ʰ o i̯ r . ɟ o,1
সাল,ʃ a l,1
দৈনন্দিন,d̪ o i̯ . n o n . d̪ i n,1
বেহাল,b e . h a l,1
দশা,d̪ ɔ . ʃ a,1
আশায়,a . ʃ a ʲ,1
প্রশাসনের,p r o . ʃ a . ʃ ɔ . n e r,1
বিদেশী,b i . d̪ e . ʃ i,1
আমলা,a m . l a,1
চেয়ারম্যান,c e . ʲ a r . m æ n,1
ঠিকাদার,tʰ i . k a . d̪ a r,1
নামমাত্র,n a m . m a t̪ . t̪ r o,1
বাজেটে,b a . ɟ e . t e,1
প্রশাসনেরই,p r o . ʃ a . ʃ ɔ . n e r i,1
রথ,r ɔ t̪ʰ,1
দেখাও,d̪ æ . kʰ a o̯,1
বেচাও,b æ . c a . o,1
ফলাও,pʰ ɔ . l a o̯,1
ঘোষণা,gʰ o . ʃ o . n a,1
ভরবে,bʰ o r . b e,1
রমরমা,r ɔ . m o r . m a,1
বাগদা,b a g . d̪ a,1
চিংড়ি,c i ŋ . ɽ i,1
মাছই,m a cʰ . i,1
প্রোটিনের,p r o . t i . n e r,1
পূরণ,p u . r ɔ n,1
অর্থের,ɔ r . t̪ʰ e r,1
সংস্থাপন,ʃ ɔ . ŋ . o s . t̪ʰ a . p o n,1
অনটনের,ɔ . n o . t ɔ . n e r,1
এনজিও,e n . ɟ i . o,1
অনিশ্চয়তায়,ɔ . n i ʃ . c ɔ ʲ . o . t̪ a ʲ,1
তলিয়ে,t̪ o . l i . ʲ e,1
এনজিওগুলোও,e n . ɟ i . o . g u . l o o̯,1
চমৎকার,c ɔ . m o t̪ . k a r,1
ভূমিকা,bʰ u . m i . k a,1
জুতাটা,ɟ u . t̪ a . t a,1
সেলাইমেশিনটা,ʃ e . l a i̯ . m e . ʃ i n . t a,1
বাচ্চার,b a c . c a r,1
যাবতীয়,ɟ a . b o . t̪ i . ʲ o,1
চড়া,c ɔ . ɽ a,1
সুদের,ʃ u . d̪ e r,1
যন্ত্রণা,ɟ ɔ n . t̪ r o . n a,1
সুদসহ,ʃ u d̪ . ʃ ɔ . h o,1
শোধ,ʃ o d̪ʰ,1
পেরে,p e . r e,1
ভারতে,bʰ a . r o . t̪ e,1
হিশাব,h i . ʃ a b,1
গ্রামাঞ্চলে,g r a . m a n . c o . l e,1
পূর্বের,p u r . b e r,1
সুদখোর,ʃ u d̪ . kʰ o r,1
জোতদারদের,ɟ o t̪ . d̪ a r . d̪ e r,1
এনজিওগুলো,e n . ɟ i . o . g u . l o,1
সুঁচ,ʃ ũ c,1
ফাল,pʰ a l,1
ভাবে,bʰ a . b e,1
প্রশাসনসহ,p r o . ʃ a . ʃ o n . ʃ ɔ . h o,1
আখের,a . kʰ e r,1
গোছাতে,g o . cʰ a . t̪ e,1
বুলি,b u . l i,1
আওড়াতে,a o̯ . ɽ a . t̪ e,1
ভাঙেনি,bʰ a . ŋ e . n i,1
চিন্তায়,c i n . t̪ a ʲ,1
দুপুর,d̪ u . p u r,1
ভীষণ,bʰ i . ʃ ɔ n,1
বোঝার,b o . ɟʰ a r,1
সূর্যের,ʃ u r . ɟ e r,1
অন্ধকার,ɔ n . d̪ʰ o . k a r,1
কূপই,k u p . i,1
রোদ,r o d̪,1
মেঘলা,m e gʰ . l a,1
প্রতিটা,p r o . t̪ i . t a,1
হোতো,h o . t̪ o,1
হইনি,h o i̯ . n i,1
আচ্ছা,a c . cʰ a,1
ভিজেন,bʰ i . ɟ e n,1
লাগতে,l a g . t̪ e,1
দেখছি,d̪ e kʰ . cʰ i,1
থেমে,t̪ʰ e . m e,1
আহা্,a . h a,1
সিডরের,s i . d ɔ . r e r,1
নার্গিস,n a r . g i s,1
আইলা,a i̯ . l a,1
তেরো,t̪ æ . r o,1
মহাসেন,m ɔ . h a . ʃ e n,1
কোমেন,k o . m e n,1
ষোলো,ʃ o . l o,1
রোয়ানু,r o . ʷ a . n u,1
সতেরো,ʃ ɔ . t̪ e . r o,1
মোরা,m o . r a,1
ফণী,pʰ o . n i,1
বুলবুল,b u l . b u l,1
একুশ,e . k u ʃ,1
আম্ফান,a m . pʰ a n,1
প্রত্যেক,p r o t̪ . t̪ e k,1
ঝড়েই,ɟʰ ɔ . ɽ e i̯,1
বঙ্গের,b ɔ ŋ . g e r,1
এলাকা,e . l a . k a,1
ক্ষতিগ্রস্ত,kʰ o . t̪ i g . g r o s . t̪ o,1
ঘূর্ণিঝড়ের,gʰ u r . n i . ɟʰ ɔ . ɽ e r,1
দরুণ,d̪ o . r u n,1
সৃষ্ট,s r i ʃ . t o,1
জলোচ্ছ্বাসে,ɟ ɔ . l o c . cʰ a . ʃ e,1
প্লাবিত,p l a . b i . t̪ o,1
সুরাহা,ʃ u . r a . h a,1
একদল,æ k . d̪ ɔ l,1
দুইবেলা,d̪ u i̯ . b æ . l a,1
খাওয়াতে,kʰ a o̯ . ʷ a . t̪ e,1
আরেক,a . r e k,1
সাঁতরে,ʃ ã t̪ . r e,1
মামুষের,m a . m u . ʃ e r,1
সেলফি,s e l . pʰ i,1
পরবর্তী,p ɔ . r o . b o r . t̪ i,1
দিনগুলো,d̪ i n . g u . l o,1
কাটবে,k a t . b e,1
স্থানীয়,s t̪ʰ a . n i . ʲ o,1
এমপির,e m . p i r,1
হাস্যকর,h a ʃ . ʃ o . k ɔ r,1
গলাবাজি,g ɔ . l a . b a . ɟ i,1
প্রশাসনকে,p r o . ʃ a . ʃ o n . k e,1
স্বার্থে,ʃ a r . t̪ʰ e,1
ভরতে,bʰ o r . t̪ e,1
অনুদানের,o . n u . d̪ a . n e r,1
শতাংশ,ʃ ɔ . t̪ a ŋ . ʃ o,1
নির্মাণের,n i r . m a . n e r,1
অর্থেই,ɔ r . t̪ʰ e i̯,1
নির্মাণ,n i r . m a n,1
কাবিখা,k a . b i . kʰ a,1
প্রকল্পের,p r o . k ɔ l . p e r,1
বালির,b a . l i r,1
বস্তাও,b ɔ s . t̪ a . o,1
জোটে,ɟ o . t e,1
ভোলানো,bʰ o . l a . n o,1
এমপিদের,e m . p i . d̪ e r,1
দোড়গড়ায়,d̪ o ɽ . g ɔ . ɽ a ʲ,1
টিকিটাও,t i . k i . t a o̯,1
কুমিরের,k u . m i . r e r,1
ছাগল,cʰ a . g o l,1
পুষতে,p u ʃ . t̪ e,1
বোঝাতে,b o . ɟʰ a . t̪ e,1
ভয়ংকর,bʰ ɔ ʲ . o ŋ . k ɔ r,1
ন্যায্য,n æ ɟ . ɟ o,1
নিজেরা,n i . ɟ e . r a,1
সুস্থভাবে,ʃ u s . t̪ʰ o . bʰ a . b e,1
আকুতি,a . k u . t̪ i,1
সরকারকে,ʃ ɔ r . k a r . k e,1
গণমানুষের,g ɔ . n o . m a . n u . ʃ e r,1
দীর্ঘস্থায়ী,d̪ i r . gʰ ɔ s . t̪ʰ a . ʲ i,1
বাড়িই,b a . ɽ i . i,1
কেনা,k e . n a,1
উপলক্ষে,u . p o . l o k . kʰ e,1
দোয়ায়,d̪ o . ʷ a ʲ,1
মৌলবির,m o u̯ . l o . b i r,1
আওয়াজই,a o̯ . ʷ a ɟ . i,1
হে,h e,1
সৃষ্টিকর্তা,s r i ʃ . t i . k ɔ r . t̪ a,1
রেখো,r e . kʰ o,1
কুনজর,k u . n o . ɟ o r,1
রক্ষা,r o k . kʰ a,1
কোরো,k o . r o,1
কোনে,k o . n e,1
দু,d̪ u,1
ফোটা,pʰ o . t a,1
জ্বলজ্বল,ɟ ɔ l . ɟ ɔ l,1
পাঞ্জাবির,p a n . ɟ a . b i r,1
হাতা,h a . t̪ a,1
ফেললেন,pʰ e l . l e n,1
দ্বিতীয়,d̪ i . t̪ i . ʲ o,1
লাগিয়ে,l a . g i . ʲ e,1
রং,r ɔ ŋ,1
